date,ID,NV,IL,NY,IN,OH,KS,OK,KY,OR,LA,PA,MA,AK,MD,AL,RI,ME,AR,SC,MI,SD,MN,AZ,TN,MO,CA,TX,CO,MS,CT,UT,MT,DC,VA,NC,DE,ND,FL,VT,NE,GA,WA,NH,WI,WY,NJ,HI,WV,NM,IA
2020-10-11,0.53,0.42,0.51,0.66,0.51,0.3,0.39,0.6,0.39,0.45,0.4,0.47,0.56,0.38,0.46,0.66,0.31,0.63,0.29,0.66,0.36,0.8,0.53,0.52,0.65,0.47,0.5,0.52,0.37,0.41,0.43,0.32,0.46,0.38,0.6,0.48,0.27,0.36,0.6,0.35,0.55,0.56,0.49,0.56,0.79,0.49,0.44,0.64,0.55,0.38,0.39
2020-10-12,0.49,0.44,0.53,0.58,0.52,0.43,0.42,0.43,0.32,0.41,0.58,0.47,0.48,0.24,0.39,0.53,0.62,0.37,0.53,0.58,0.42,0.49,0.63,0.58,0.42,0.45,0.43,0.45,0.5,0.32,0.59,0.33,0.9,0.52,0.77,0.43,0.28,0.47,0.57,0.4,0.41,0.58,0.44,0.34,0.69,0.42,0.6,0.63,0.54,0.54,0.38
2020-10-13,0.36,0.41,0.44,0.6,0.5,0.38,0.53,0.64,0.36,0.29,0.4,0.47,0.54,0.25,0.47,0.58,0.37,0.42,0.47,0.57,0.38,0.77,0.46,0.6,0.63,0.41,0.49,0.49,0.41,0.5,0.51,0.4,0.88,0.45,0.54,0.45,0.26,0.37,0.62,0.33,0.5,0.5,0.36,0.33,0.68,0.36,0.58,0.47,0.39,0.35,0.58
2020-10-14,0.72,0.44,0.38,0.56,0.52,0.43,0.64,0.49,0.53,0.4,0.54,0.54,0.49,0.17,0.31,0.79,0.36,0.46,0.51,0.64,0.49,0.34,0.52,0.55,0.61,0.62,0.46,0.54,0.5,0.54,0.51,0.38,0.33,0.21,0.59,0.5,0.15,0.82,0.6,0.07,0.62,0.53,0.4,0.69,0.72,0.41,0.54,0.59,0.83,0.64,0.47
2020-10-15,0.73,0.45,0.53,0.64,0.43,0.5,0.43,0.64,0.41,0.43,0.57,0.46,0.71,0.34,0.54,0.82,0.53,0.61,0.7,0.38,0.41,0.3,0.49,0.69,0.54,0.54,0.44,0.57,0.4,0.59,0.63,0.35,0.64,0.26,0.51,0.55,0.26,0.47,0.6,0.53,0.43,0.58,0.47,0.5,0.75,0.53,0.52,0.36,0.64,0.56,0.46
2020-10-16,0.47,0.64,0.61,0.56,0.49,0.48,0.75,0.47,0.44,0.26,0.46,0.5,0.56,0.35,0.5,0.6,0.29,0.48,0.35,0.48,0.48,1.0,0.58,0.61,0.47,0.44,0.45,0.56,0.48,0.45,0.53,0.39,0.68,0.71,0.44,0.47,0.19,0.33,0.57,0.62,0.79,0.41,0.37,0.54,0.76,0.78,0.55,0.5,0.86,0.65,0.41
2020-10-17,0.56,0.44,0.52,0.49,0.52,0.39,0.5,0.41,0.46,0.4,0.44,0.52,0.52,0.38,0.33,0.39,0.36,0.25,0.66,0.41,0.41,0.66,0.6,0.59,0.46,0.48,0.51,0.5,0.64,0.49,0.56,0.29,0.75,0.29,0.41,0.51,0.35,0.73,0.58,0.54,0.31,0.54,0.35,0.53,0.88,0.52,0.57,0.4,0.47,0.58,0.55
2020-10-18,0.58,0.45,0.6,0.57,0.57,0.35,0.51,0.58,0.48,0.36,0.39,0.49,0.47,0.19,0.48,0.38,0.35,0.77,0.46,0.43,0.39,0.33,0.39,0.62,0.69,0.6,0.45,0.56,0.59,0.57,0.54,0.26,0.49,0.27,0.59,0.39,0.47,0.42,0.65,0.38,0.41,0.58,0.4,0.16,0.74,0.72,0.53,0.4,0.53,0.53,0.45
2020-10-19,0.42,0.46,0.64,0.66,0.56,0.44,0.44,0.6,0.37,0.41,0.59,0.52,0.45,0.25,0.48,0.34,0.39,0.55,0.4,0.54,0.48,0.39,0.64,0.66,0.63,0.53,0.49,0.55,0.51,0.61,0.75,0.3,0.36,0.58,0.63,0.51,0.51,0.63,0.6,0.43,0.53,0.72,0.48,0.38,0.68,0.63,0.47,0.63,0.59,0.57,0.73
2020-10-20,0.61,0.83,0.79,0.61,0.57,0.47,0.45,0.82,0.45,0.38,0.23,0.55,0.73,0.34,0.43,0.77,0.49,0.52,0.67,0.64,0.52,0.36,0.6,0.7,0.56,0.62,0.51,0.49,0.55,0.4,0.79,0.36,0.51,0.31,0.56,0.53,0.19,0.36,0.62,0.51,0.46,0.48,0.47,0.49,0.72,0.66,0.55,0.52,0.63,0.64,0.57
2020-10-21,0.71,0.45,0.63,0.65,0.56,0.51,0.61,0.54,0.51,0.34,0.5,0.47,0.64,0.43,0.39,0.68,0.45,0.51,0.61,0.7,0.59,0.36,0.62,0.61,0.71,0.7,0.56,0.57,0.56,0.41,0.86,0.27,0.59,0.54,0.64,0.47,0.19,0.41,0.74,0.43,0.46,0.75,0.47,0.76,0.69,0.54,0.74,0.35,0.99,0.47,0.48
2020-10-22,0.5,0.71,0.71,0.52,0.56,0.58,0.43,0.55,0.5,0.5,0.44,0.43,0.71,0.34,0.39,0.5,0.47,0.63,0.42,0.66,0.46,0.41,0.56,0.59,0.73,0.53,0.48,0.5,0.43,0.52,0.65,0.26,0.73,0.31,0.63,0.45,0.16,0.36,0.64,0.29,0.6,0.51,0.43,0.58,0.67,0.43,0.52,0.39,0.41,0.46,0.56
2020-10-23,0.5,0.63,0.68,0.51,0.44,0.45,0.65,0.63,0.53,0.49,0.4,0.47,0.61,0.17,0.5,0.74,0.46,0.45,0.4,0.65,0.52,0.73,0.52,0.67,0.77,0.49,0.48,0.7,0.55,0.45,0.41,0.34,0.51,0.28,0.63,0.56,0.26,0.44,0.53,0.45,0.91,0.55,0.44,0.43,0.68,0.65,0.48,0.39,0.41,0.54,0.5
2020-10-24,0.71,0.55,0.66,0.6,0.43,0.44,0.55,0.38,0.52,0.54,0.38,0.6,0.54,0.29,0.48,0.58,0.16,0.53,0.71,0.82,0.47,0.39,0.74,0.65,0.66,0.53,0.52,0.56,0.57,0.36,0.91,0.36,0.43,0.75,0.62,0.52,0.31,0.37,0.65,0.61,0.39,0.56,0.48,0.55,0.66,0.72,0.6,0.19,0.48,0.69,0.56
2020-10-25,0.61,0.5,0.62,0.66,0.55,0.47,0.8,0.68,0.53,0.54,0.52,0.49,0.57,0.89,0.51,0.45,0.33,0.3,0.35,0.65,0.53,0.68,0.5,0.49,0.55,0.48,0.5,0.55,0.51,0.24,0.49,0.28,0.66,0.39,0.6,0.5,0.53,0.63,0.63,0.3,0.52,0.57,0.48,0.82,0.74,0.67,0.55,0.15,0.43,0.51,0.58
2020-10-26,0.89,0.64,0.7,0.67,0.68,0.5,0.41,0.39,0.53,0.37,0.61,0.5,0.78,0.33,0.56,0.66,0.62,0.34,0.36,0.59,0.57,0.84,0.69,0.74,0.51,0.68,0.49,0.61,0.55,0.55,0.65,0.32,0.46,0.51,0.71,0.58,0.36,0.77,0.68,0.48,0.25,0.67,0.49,0.51,0.69,0.7,0.6,0.4,0.39,0.59,0.61
2020-10-27,1.0,0.49,0.76,0.58,0.5,0.46,0.41,0.49,0.6,0.6,0.45,0.51,0.74,0.24,0.53,0.56,0.59,0.35,0.4,0.57,0.63,0.76,0.52,0.72,0.66,0.48,0.54,0.58,0.72,0.53,0.72,0.37,0.51,0.41,0.6,0.36,0.15,0.52,0.59,0.55,0.65,0.53,0.5,0.5,0.84,0.79,0.69,0.43,0.32,0.38,0.71
2020-10-28,0.83,0.66,0.93,0.71,0.62,0.55,0.49,0.51,0.64,0.56,0.41,0.73,0.79,0.34,0.67,0.71,0.28,0.48,0.65,0.52,0.59,0.49,0.76,0.92,0.69,0.84,0.55,0.65,0.64,0.39,0.62,0.22,0.52,0.36,0.6,0.52,0.47,0.46,0.64,0.28,0.62,0.79,0.43,0.46,0.89,0.7,0.62,0.38,0.52,0.45,0.55
2020-10-29,0.59,0.44,0.76,0.59,0.54,0.59,0.65,0.56,0.58,0.51,0.56,0.54,0.81,0.34,0.64,0.64,0.31,0.79,0.66,0.45,0.75,0.78,0.64,0.83,0.8,0.54,0.57,0.57,0.61,0.3,1.0,0.28,0.22,0.51,0.52,0.51,0.34,0.5,0.64,0.5,0.58,0.58,0.44,0.3,0.7,0.38,0.69,0.47,0.76,0.56,0.76
2020-10-30,0.56,0.85,0.86,0.61,0.51,0.59,0.5,0.78,0.49,0.51,0.42,0.56,0.82,0.52,0.56,0.7,0.53,0.82,0.49,0.52,0.67,0.5,0.66,0.8,0.51,0.76,0.53,0.61,0.65,0.47,0.7,0.71,0.62,0.28,0.69,0.52,0.19,0.64,0.72,0.72,0.59,0.54,0.46,0.27,0.8,0.73,0.67,0.44,0.48,0.94,0.68
2020-10-31,0.88,0.48,0.84,0.62,0.6,0.42,0.45,0.7,0.51,0.7,0.45,0.6,0.63,0.0,0.79,0.46,0.36,0.8,0.43,0.47,0.51,0.47,0.73,0.8,0.74,0.47,0.57,0.62,0.56,0.38,0.74,0.64,0.61,0.4,0.65,0.43,0.26,0.58,0.68,0.25,0.61,0.64,0.58,0.74,0.82,0.78,0.74,0.48,0.59,0.5,0.69
2020-11-01,0.28,0.46,0.81,0.71,0.43,0.52,0.45,0.65,0.7,0.41,0.45,0.38,0.8,0.28,0.7,0.5,0.26,0.7,0.47,1.0,0.46,0.6,0.7,0.91,0.55,0.57,0.51,0.56,0.62,0.41,0.94,0.33,0.46,0.45,0.7,0.43,0.2,0.36,0.62,0.84,0.64,0.54,0.48,0.64,0.79,0.48,0.72,0.58,0.53,0.63,0.89
2020-11-02,0.81,0.39,0.67,0.59,0.57,0.49,0.48,0.57,0.57,0.42,0.5,0.52,0.97,0.49,0.65,0.57,0.85,0.84,0.34,0.61,0.54,0.71,0.72,0.63,0.68,0.8,0.51,0.59,0.49,0.43,0.74,0.47,0.73,0.46,0.69,0.41,0.48,0.47,0.63,0.21,0.67,0.56,0.43,0.61,0.67,0.53,0.68,0.3,0.35,0.57,0.78
2020-11-03,0.55,0.52,0.64,0.51,0.45,0.39,0.46,0.49,0.57,0.49,0.55,0.4,0.68,0.4,0.53,0.53,0.46,0.45,0.43,0.43,0.51,0.75,0.52,0.6,0.56,0.49,0.44,0.53,0.44,0.47,0.73,0.26,0.73,0.45,0.58,0.43,0.41,0.46,0.59,0.26,0.56,0.52,0.35,0.54,0.59,0.69,0.54,0.39,0.28,0.43,0.58
2020-11-04,0.25,0.32,0.37,0.31,0.32,0.24,0.27,0.31,0.32,0.25,0.29,0.32,0.33,0.26,0.34,0.44,0.27,0.2,0.22,0.32,0.28,0.14,0.39,0.32,0.3,0.31,0.25,0.3,0.35,0.22,0.33,0.11,0.22,0.35,0.27,0.24,0.25,0.28,0.36,0.56,0.33,0.28,0.19,0.2,0.31,0.24,0.33,0.38,0.28,0.38,0.45
2020-11-05,0.52,0.34,0.47,0.39,0.41,0.42,0.56,0.3,0.44,0.24,0.52,0.36,0.52,0.24,0.34,0.45,0.42,0.46,0.27,0.25,0.37,0.17,0.43,0.41,0.45,0.49,0.3,0.36,0.5,0.3,0.56,0.22,0.27,0.28,0.42,0.36,0.14,0.22,0.41,0.42,0.36,0.46,0.31,0.43,0.39,0.68,0.6,0.16,0.35,0.28,0.51
2020-11-06,0.43,0.46,0.62,0.42,0.42,0.41,0.39,0.29,0.55,0.47,0.37,0.44,0.54,0.34,0.52,0.59,0.37,0.48,0.39,0.45,0.51,0.34,0.43,0.59,0.42,0.5,0.34,0.43,0.48,0.24,0.67,0.25,0.45,0.49,0.46,0.38,0.25,0.32,0.41,0.29,0.46,0.4,0.34,0.41,0.37,0.42,0.47,0.44,0.3,0.4,0.6
2020-11-07,0.32,0.51,0.63,0.41,0.47,0.39,0.38,0.53,0.44,0.46,0.33,0.48,0.61,0.3,0.43,0.38,0.37,0.56,0.35,0.4,0.5,0.52,0.53,0.59,0.41,0.61,0.43,0.51,0.53,0.32,0.59,0.35,0.36,0.44,0.45,0.31,0.28,0.31,0.5,0.39,0.48,0.44,0.37,0.67,0.59,0.5,0.62,0.36,0.5,0.48,0.42
2020-11-08,0.39,0.39,0.63,0.44,0.46,0.37,0.29,0.9,0.43,0.47,0.56,0.52,0.6,0.25,0.6,0.58,0.31,0.73,0.42,0.46,0.38,0.53,0.73,0.6,0.56,0.53,0.43,0.53,0.6,0.56,0.48,0.31,0.29,0.31,0.58,0.4,0.22,0.66,0.5,0.45,0.58,0.57,0.41,0.47,0.64,0.45,0.65,0.47,0.68,0.52,0.71
2020-11-09,0.32,0.86,0.8,0.7,0.72,0.5,0.76,0.69,0.53,0.6,0.62,0.52,0.67,0.4,0.71,0.48,0.56,0.68,0.51,0.56,0.59,0.28,0.69,0.58,0.66,0.75,0.54,0.65,0.67,0.66,0.8,1.0,0.45,0.34,0.56,0.42,0.51,0.25,0.64,0.57,0.89,0.51,0.43,0.47,0.61,0.59,0.84,0.55,0.81,0.49,0.91
2020-11-10,0.78,0.56,0.72,0.63,0.67,0.52,0.88,0.75,0.48,0.5,0.41,0.62,0.6,0.24,1.0,0.54,0.63,0.72,0.48,0.56,0.58,0.35,0.82,0.7,0.48,0.45,0.61,0.54,0.55,0.51,0.66,0.33,0.59,0.55,0.59,0.47,0.51,0.49,0.52,0.7,0.63,0.53,0.46,0.65,0.58,0.85,0.67,0.45,0.44,0.52,0.89
2020-11-11,0.49,0.83,0.84,0.75,0.82,0.81,0.7,0.63,0.52,0.46,0.85,0.78,0.71,0.17,0.96,0.5,0.86,0.84,0.26,0.78,0.64,0.63,0.71,0.89,0.62,0.7,0.68,0.65,0.77,0.44,0.86,0.35,0.45,0.83,0.74,0.67,0.43,0.21,0.56,0.44,0.66,0.67,0.47,0.37,0.79,0.54,0.78,0.34,0.57,0.55,0.7
2020-11-12,0.55,0.99,0.93,0.79,1.0,0.75,0.69,0.8,0.68,0.6,0.56,0.84,0.65,0.69,0.85,0.45,0.51,0.69,0.73,0.73,0.81,0.5,0.6,0.78,0.59,0.65,0.61,0.68,0.69,0.58,0.74,0.43,0.84,0.5,0.65,0.58,0.5,0.2,0.53,0.96,0.49,0.75,0.72,0.5,0.8,0.72,0.85,0.52,0.36,0.67,0.98
2020-11-13,0.99,0.64,1.0,0.84,0.8,0.87,0.7,0.76,0.42,0.83,0.81,0.81,0.79,0.96,0.9,0.63,0.61,0.62,0.68,0.83,0.67,0.23,0.6,1.0,0.64,0.72,0.73,0.7,0.81,0.42,0.85,0.39,0.55,0.55,0.78,0.55,0.4,0.57,0.69,0.76,0.55,0.74,0.82,0.78,0.98,0.93,0.89,0.53,0.77,0.92,0.96
2020-11-14,0.86,0.91,0.97,0.93,0.85,0.7,0.74,1.0,0.72,1.0,0.38,0.67,0.74,1.0,0.98,0.82,0.49,0.7,0.65,0.58,0.69,0.45,0.72,0.85,0.62,1.0,0.77,0.77,0.73,0.67,0.86,0.42,0.6,0.4,0.91,0.55,0.72,1.0,0.74,0.69,0.81,0.67,0.71,0.77,0.65,0.65,0.86,0.72,0.73,0.84,1.0
2020-11-15,0.78,0.79,0.89,0.86,0.78,0.65,0.42,0.71,0.61,0.83,0.77,0.72,0.75,0.28,0.81,0.49,0.48,0.75,0.44,0.75,0.81,0.44,0.89,0.91,0.58,0.63,0.71,0.75,0.77,0.46,0.89,0.41,0.55,0.63,0.86,0.53,0.61,0.63,0.82,0.94,0.55,0.81,1.0,0.55,0.66,0.86,0.86,0.41,0.7,0.68,0.87
2020-11-16,0.66,0.92,0.97,0.88,0.86,0.74,0.87,0.95,0.65,0.72,0.99,0.96,0.74,0.41,0.86,0.53,0.72,0.56,0.66,0.73,1.0,0.39,0.84,0.96,1.0,0.91,0.89,0.76,0.83,0.58,0.69,0.47,0.85,0.57,0.91,0.62,0.68,0.67,0.79,0.71,0.66,0.71,0.95,0.5,0.73,0.77,1.0,0.4,0.58,0.77,0.92
2020-11-17,0.88,0.9,0.92,0.85,0.71,0.77,0.95,0.84,0.43,0.55,0.75,1.0,0.68,0.71,0.98,0.98,0.76,1.0,0.64,0.65,0.75,0.33,0.79,0.87,0.86,0.76,1.0,0.71,0.78,0.42,0.85,0.45,0.7,0.68,1.0,0.96,1.0,0.35,0.81,0.88,0.52,0.74,0.71,0.78,0.57,0.85,0.9,0.52,0.73,0.49,0.87
2020-11-18,0.81,0.92,0.91,0.89,0.93,1.0,0.9,0.72,1.0,0.57,0.93,0.88,0.64,0.42,0.77,0.85,0.79,0.62,0.72,0.81,0.65,0.71,1.0,0.96,0.98,0.77,0.76,0.79,1.0,0.72,0.87,0.37,0.67,0.78,0.82,0.8,0.61,0.37,0.78,0.48,0.6,0.94,0.71,0.64,0.86,0.85,0.92,0.28,0.71,0.92,0.94
2020-11-19,0.74,0.77,0.74,0.72,0.81,0.94,0.87,0.78,0.73,0.68,1.0,0.8,0.78,0.33,0.8,1.0,1.0,0.43,0.61,0.66,0.53,0.59,0.84,0.94,0.67,0.91,0.78,0.74,0.75,0.28,0.87,0.32,1.0,0.56,0.84,0.53,0.37,0.56,0.82,0.85,0.83,0.68,0.76,0.65,0.68,1.0,0.73,0.71,0.59,1.0,0.81
2020-11-20,0.69,0.92,0.86,0.77,0.75,0.7,0.79,0.57,0.7,0.56,0.48,0.84,0.64,0.49,0.82,0.84,0.44,0.73,0.61,0.77,0.49,0.68,0.75,0.87,0.76,1.0,0.75,0.7,0.72,0.18,0.84,0.37,0.64,0.63,0.71,0.52,0.76,0.58,0.69,0.49,0.67,0.77,0.52,0.61,0.75,0.79,0.92,0.43,0.77,0.71,0.62
2020-11-21,0.77,0.71,0.81,0.85,0.45,0.57,0.64,0.63,0.47,0.47,0.57,0.69,0.63,0.72,0.82,0.69,0.56,0.73,0.55,0.53,0.57,0.7,0.67,0.87,0.76,0.55,0.8,0.67,0.65,0.56,0.59,0.35,0.74,0.89,0.77,0.61,0.54,0.35,0.7,0.23,0.34,0.58,0.44,1.0,0.43,0.47,0.69,0.31,0.94,0.62,0.65
2020-11-22,0.65,0.64,0.58,0.66,0.77,0.5,0.75,0.71,0.48,0.61,0.86,0.6,0.69,0.46,0.73,0.65,0.32,0.64,0.59,0.67,0.5,0.32,0.58,0.69,0.8,0.58,0.62,0.63,0.8,0.34,0.74,0.38,0.47,0.39,0.6,0.51,0.27,0.67,0.7,0.45,0.39,0.61,0.54,0.51,0.67,0.56,0.73,0.38,0.62,0.53,0.66
2020-11-23,0.45,0.48,0.72,0.71,0.58,0.6,0.54,0.48,0.53,0.59,0.67,0.7,0.69,0.16,0.69,0.35,0.57,0.49,0.84,0.55,0.45,0.52,0.52,0.68,0.5,0.66,0.76,0.66,0.54,0.68,0.67,0.35,0.46,0.6,0.68,0.64,0.52,0.2,0.63,0.27,0.62,0.6,0.49,0.37,0.57,0.63,0.69,0.64,0.61,0.5,0.68
2020-11-24,0.5,0.6,0.62,0.74,0.66,0.65,0.69,0.57,0.46,0.61,0.72,0.7,0.55,0.24,0.69,0.69,0.42,0.69,0.61,0.55,0.47,0.35,0.69,0.75,0.73,0.65,0.71,0.55,0.59,0.34,0.65,0.31,0.59,0.45,0.58,0.6,0.3,0.46,0.58,0.29,0.37,0.59,0.5,0.46,0.73,0.77,0.68,0.41,0.45,0.67,0.44
2020-11-25,0.31,0.63,0.59,0.64,0.65,0.49,0.64,0.7,0.37,0.52,0.76,0.68,0.57,0.58,0.57,0.59,0.4,0.59,0.51,0.5,0.51,0.42,0.63,0.77,0.64,0.59,0.67,0.64,0.67,0.66,0.56,0.27,0.09,0.25,0.72,0.58,0.43,0.38,0.62,0.29,0.59,0.5,0.46,0.55,0.4,0.22,0.69,0.43,0.58,0.48,0.66
2020-11-26,0.42,0.38,0.51,0.54,0.35,0.57,0.4,0.47,0.43,0.53,0.53,0.55,0.5,0.26,0.45,0.43,0.36,0.68,0.58,0.61,0.45,0.18,0.44,0.65,0.41,0.6,0.51,0.52,0.57,0.5,0.38,0.24,0.27,0.22,0.6,0.46,0.35,0.45,0.5,0.36,0.51,0.55,0.28,0.27,0.4,0.59,0.57,0.38,0.47,0.54,0.51
2020-11-27,0.32,0.62,0.47,0.58,0.38,0.55,0.39,0.48,0.42,0.54,0.56,0.51,0.61,0.7,0.64,0.38,0.33,0.51,0.49,0.52,0.49,0.19,0.47,0.66,0.74,0.46,0.6,0.54,0.47,0.33,0.47,0.22,0.32,0.28,0.51,0.4,0.56,0.28,0.6,0.4,0.44,0.45,0.46,0.55,0.45,0.28,0.56,0.19,0.43,0.71,0.45
2020-11-28,0.61,0.7,0.59,0.64,0.42,0.47,0.68,0.75,0.39,0.47,0.47,0.5,0.64,0.36,0.5,0.46,0.54,0.49,0.25,0.83,0.51,0.4,0.61,0.7,0.65,0.66,0.68,0.51,0.56,0.52,0.51,0.27,0.87,0.29,0.52,0.43,0.54,0.42,0.57,0.56,0.28,0.6,0.48,0.45,0.32,0.55,0.66,0.29,0.42,0.49,0.42
2020-11-29,0.38,0.39,0.53,0.68,0.38,0.44,0.52,0.36,0.43,0.46,0.81,0.55,0.59,0.26,0.6,0.73,0.32,0.83,0.49,0.81,0.4,0.56,0.62,0.62,0.47,0.43,0.63,0.51,0.55,0.48,0.58,0.3,0.37,0.42,0.66,0.47,0.26,0.38,0.61,0.49,0.26,0.49,0.39,0.35,0.46,0.61,0.51,0.43,0.42,0.53,0.76
